order_id,timestamp,item,amount,unit,qty,price,bill_total
ORD69170138012,"17 Apr 2026, 11:16 PM",Smith & Jones Ginger Garlic Paste,200,g,1,39,526
ORD69170138012,"17 Apr 2026, 11:16 PM",Mother Dairy Classic Pouch Pouch Curd,390,g,2,70,526
ORD69170138012,"17 Apr 2026, 11:16 PM",Amul Dark Chocolate Bar,35,g,1,45,526
ORD69170138012,"17 Apr 2026, 11:16 PM","Happy Kitchen Sharp Vegetable Peeler (Stainless Steel, Plastic)",1,pc,1,49,526
ORD69170138012,"17 Apr 2026, 11:16 PM",Fortune Rice Bran Oil,870,g,1,169,526
ORD69170138012,"17 Apr 2026, 11:16 PM",Amul Moti Toned Milk (90 Days Shelf Life),450,ml,4,132,526
ORD69170138012,"17 Apr 2026, 11:16 PM",Handling charge,,,,9,526
ORD69170138012,"17 Apr 2026, 11:16 PM",Delivery charges,,,,12,526
ORD69170138012,"17 Apr 2026, 11:16 PM",Feeding India donation,,,,1,526
ORD88717074223,"17 Apr 2026, 09:15 AM",Harvest Gold Sandwich White Bread,450,g,1,40,345
ORD88717074223,"17 Apr 2026, 09:15 AM",Pintola High Protein Oats (Dark Chocolate),400,g,1,283,345
ORD88717074223,"17 Apr 2026, 09:15 AM",Handling charge,,,,9,345
ORD88717074223,"17 Apr 2026, 09:15 AM",Delivery charges,,,,12,345
ORD88717074223,"17 Apr 2026, 09:15 AM",Feeding India donation,,,,1,345
ORD34159913749,"16 Apr 2026, 09:12 AM",Emami Healthy & Tasty Physically Refined Rice Bran Oil,730,g,1,136,264
ORD34159913749,"16 Apr 2026, 09:12 AM",Kissan Fresh Tomato Ketchup,1.1,kg,1,106,264
ORD34159913749,"16 Apr 2026, 09:12 AM",Handling charge,,,,9,264
ORD34159913749,"16 Apr 2026, 09:12 AM",Delivery charges,,,,12,264
ORD34159913749,"16 Apr 2026, 09:12 AM",Feeding India donation,,,,1,264
ORD78752816713,"15 Apr 2026, 08:42 PM",Orange Carrot,200,g,2,24,691
ORD78752816713,"15 Apr 2026, 08:42 PM",Amul Fresh Malai Paneer,200,g,1,95,691
ORD78752816713,"15 Apr 2026, 08:42 PM",Pintola High Protein Oats (Chocolate),1,kg,1,550,691
ORD78752816713,"15 Apr 2026, 08:42 PM",Handling charge,,,,9,691
ORD78752816713,"15 Apr 2026, 08:42 PM",Delivery charges,,,,12,691
ORD78752816713,"15 Apr 2026, 08:42 PM",Feeding India donation,,,,1,691
